month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
3,2560,66857.00,2665.17,4,27,32,30,1
4,2560,64876.00,2665.17,4,28,33,31,1
5,2560,65665.00,2665.17,4,27,32,30,1
6,2560,67781.00,2665.17,4,28,31,29,0
7,2560,68718.00,2665.17,4,27,31,29,0
8,2560,77950.00,2665.17,4,27,31,29,1
9,2560,71916.00,2665.17,4,28,31,29,1
10,2560,77788.00,2665.17,4,26,31,28,1
11,2560,71754.00,2665.17,4,25,30,28,1
12,2560,70729.00,2665.17,4,20,29,26,1
1,2561,13421.00,2665.17,4,22,30,27,1
2,2561,64655.00,2665.17,4,23,30,27,1
3,2561,42487.00,2665.17,4,24,31,29,1
4,2561,63730.00,2665.17,4,24,32,29,1
5,2561,48130.00,2665.17,4,28,31,29,1
6,2561,71545.00,2665.17,4,26,31,30,0
7,2561,80732.00,2665.17,4,27,30,29,0
8,2561,70737.00,2665.17,4,27,30,29,1
9,2561,75938.00,2665.17,4,27,31,29,1
10,2561,47116.00,2665.17,4,27,31,29,1
11,2561,50983.00,2665.17,4,26,31,29,1
12,2561,46785.00,2665.17,4,26,30,28,1
1,2556,33400.00,4094.27,8,26,30,28,1
2,2556,39200.00,4094.27,8,28,32,30,1
3,2556,19600.00,4094.27,8,24,34,31,0
4,2556,35800.00,4094.27,8,29,34,32,0
5,2556,37600.00,4094.27,8,30,34,32,0
6,2556,39200.00,4094.27,8,28,32,30,1
7,2556,39200.00,4094.27,8,28,32,30,1
8,2556,15900.00,4094.27,8,28,31,30,1
9,2556,47600.00,4094.27,8,24,32,29,1
10,2556,21400.00,4094.27,8,26,31,29,0
11,2556,20000.00,4094.27,8,26,31,30,1
12,2556,24600.00,4094.27,8,21,30,25,1
1,2557,9400.00,4094.27,8,21,28,25,1
2,2557,30800.00,4094.27,8,24,29,28,1
3,2557,34400.00,4094.27,8,27,32,30,1
4,2557,38200.00,4094.27,8,29,33,31,1
5,2557,27400.00,4094.27,8,29,33,31,1
6,2557,7000.00,4094.27,8,28,32,30,0
7,2557,34000.00,4094.27,8,27,32,30,0
8,2557,55200.00,4094.27,8,27,31,29,1
9,2557,57960.00,4094.27,8,28,31,29,1
10,2557,38040.00,4094.27,8,27,29,29,1
11,2557,54000.00,4094.27,8,26,31,29,1
12,2557,51600.00,4094.27,8,24,29,27,1
1,2558,15600.00,4094.27,8,23,29,26,1
2,2558,13200.00,4094.27,8,26,31,28,1
3,2558,9200.00,4094.27,8,27,31,30,1
4,2558,7000.00,4094.27,8,27,33,30,1
5,2558,12000.00,4094.27,8,29,32,31,1
6,2558,15200.00,4094.27,8,29,33,30,0
7,2558,21200.00,4094.27,8,28,32,30,0
8,2558,33600.00,4094.27,8,27,32,30,1
9,2558,29800.00,4094.27,8,26,31,29,1
10,2558,36600.00,4094.27,8,27,30,29,1
11,2558,30000.00,4094.27,8,28,31,29,1
12,2558,12977.00,4094.27,8,24,31,28,1
1,2559,1023.00,4094.27,8,18,31,27,1
2,2559,1000.00,4094.27,8,20,30,28,1
3,2559,7800.00,4094.27,8,27,33,31,1
4,2559,8000.00,4094.27,8,29,34,32,1
5,2559,8600.00,4094.27,8,29,34,32,1
6,2559,8200.00,4094.27,8,27,32,29,0
7,2559,2000.00,4094.27,8,28,31,29,0
8,2559,5600.00,4094.27,8,29,31,30,1
9,2559,6200.00,4094.27,8,27,31,29,1
10,2559,7280.00,4094.27,8,27,30,29,1
11,2559,6720.00,4094.27,8,27,31,29,1
12,2559,5600.00,4094.27,8,24,30,27,1
1,2560,5244.00,4094.27,8,26,29,27,1
2,2560,6756.00,4094.27,8,24,31,28,1
3,2560,6600.00,4094.27,8,27,32,30,1
4,2560,6400.00,4094.27,8,28,33,31,1
5,2560,6400.00,4094.27,8,27,32,30,1
6,2560,6400.00,4094.27,8,28,31,29,0
7,2560,6600.00,4094.27,8,27,31,29,0
8,2560,7600.00,4094.27,8,27,31,29,1
9,2560,7000.00,4094.27,8,28,31,29,1
10,2560,7200.00,4094.27,8,26,31,28,1
11,2560,6600.00,4094.27,8,25,30,28,1
12,2560,6600.00,4094.27,8,20,29,26,1
1,2561,5600.00,4094.27,8,22,30,27,1
2,2561,4600.00,4094.27,8,23,30,27,1
3,2561,2800.00,4094.27,8,24,31,29,1
4,2561,4000.00,4094.27,8,24,32,29,1
5,2561,3600.00,4094.27,8,28,31,29,1
6,2561,7400.00,4094.27,8,26,31,30,0
7,2561,8400.00,4094.27,8,27,30,29,0
8,2561,3404.00,4094.27,8,27,30,29,1
9,2561,3900.00,4094.27,8,27,31,29,1
10,2561,2400.00,4094.27,8,27,31,29,1
11,2561,2700.00,4094.27,8,26,31,29,1
12,2561,3800.00,4094.27,8,26,30,28,1
