month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
6,2559,38400,6444.95,45,27,32,29,0
7,2559,31520,6445.95,46,28,31,29,0
8,2559,34560,6446.95,47,29,31,30,1
9,2559,34080,6447.95,48,27,31,29,1
10,2559,32160,6448.95,49,27,30,29,1
11,2559,36640,6449.95,50,27,31,29,1
12,2559,31520,6450.95,51,24,30,27,1
1,2560,28000,6451.95,52,26,29,27,1
2,2560,24480,6452.95,53,24,31,28,1
3,2560,40320,6453.95,54,27,32,30,1
4,2560,27520,6454.95,55,28,33,31,1
5,2560,31520,6455.95,56,27,32,30,1
6,2560,33760,6456.95,57,28,31,29,0
7,2560,29600,6457.95,58,27,31,29,0
8,2560,36640,6458.95,59,27,31,29,1
9,2560,32160,6459.95,60,28,31,29,1
10,2560,27680,6460.95,61,26,31,28,1
11,2560,29440,6461.95,62,25,30,28,1
12,2560,23840,6462.95,63,20,29,26,1
1,2561,27360,6463.95,64,22,30,27,1
2,2561,28320,6464.95,65,23,30,27,1
3,2561,28480,6465.95,66,24,31,29,1
4,2561,25600,6466.95,67,24,32,29,1
5,2561,26400,6467.95,68,28,31,29,1
6,2561,29120,6468.95,69,26,31,30,0
7,2561,30720,6469.95,70,27,30,29,0
8,2561,32480,6470.95,71,27,30,29,1
9,2561,26880,6471.95,72,27,31,29,1
10,2561,28800,6472.95,73,27,31,29,1
11,2561,30560,6473.95,74,26,31,29,1
12,2561,22880,6474.95,75,26,30,28,1
1,2556,8640,693.21,1,26,30,28,1
2,2556,7420,693.21,1,28,32,30,1
3,2556,7160,693.21,1,24,34,31,0
4,2556,7120,693.21,1,29,34,32,0
5,2556,7080,693.21,1,30,34,32,0
6,2556,7060,693.21,1,28,32,30,1
7,2556,6620,693.21,1,28,32,30,1
8,2556,8640,693.21,1,28,31,30,1
9,2556,7180,693.21,1,24,32,29,1
10,2556,8520,693.21,1,26,31,29,0
11,2556,9440,693.21,1,26,31,30,1
12,2556,3560,693.21,1,21,30,25,1
1,2557,8520,693.21,1,21,28,25,1
2,2557,6060,693.21,1,24,29,28,1
3,2557,7160,693.21,1,27,32,30,1
4,2557,8700,693.21,1,29,33,31,1
5,2557,7000,693.21,1,29,33,31,1
6,2557,8660,693.21,1,28,32,30,0
7,2557,7240,693.21,1,27,32,30,0
8,2557,8540,693.21,1,27,31,29,1
9,2557,12300,693.21,1,28,31,29,1
10,2557,11540,693.21,1,27,29,29,1
11,2557,6500,693.21,1,26,31,29,1
12,2557,6600,693.21,1,24,29,27,1
1,2558,8220,693.21,1,23,29,26,1
2,2558,6280,693.21,1,26,31,28,1
3,2558,4000,693.21,1,27,31,30,1
4,2558,19680,693.21,1,27,33,30,1
5,2558,7680,693.21,1,29,32,31,1
6,2558,9880,693.21,1,29,33,30,0
7,2558,8160,693.21,1,28,32,30,0
8,2558,9320,693.21,1,27,32,30,1
9,2558,10120,693.21,1,26,31,29,1
10,2558,8440,693.21,1,27,30,29,1
11,2558,8760,693.21,1,28,31,29,1
12,2558,8960,693.21,1,24,31,28,1
1,2559,10100,693.21,1,18,31,27,1
2,2559,7120,693.21,1,20,30,28,1
3,2559,11980,693.21,1,27,33,31,1
4,2559,9480,693.21,1,29,34,32,1
5,2559,8020,693.21,1,29,34,32,1
6,2559,9300,693.21,1,27,32,29,0
7,2559,7820,693.21,1,28,31,29,0
8,2559,10980,693.21,1,29,31,30,1
9,2559,10080,693.21,1,27,31,29,1
10,2559,8340,693.21,1,27,30,29,1
11,2559,7340,693.21,1,27,31,29,1
12,2559,9440,693.21,1,24,30,27,1
1,2560,10340,693.21,1,26,29,27,1
2,2560,8820,693.21,1,24,31,28,1
3,2560,9740,693.21,1,27,32,30,1
4,2560,9080,693.21,1,28,33,31,1
5,2560,7720,693.21,1,27,32,30,1
6,2560,8620,693.21,1,28,31,29,0
7,2560,8160,693.21,1,27,31,29,0
8,2560,11660,693.21,1,27,31,29,1
9,2560,8060,693.21,1,28,31,29,1
10,2560,8980,693.21,1,26,31,28,1
11,2560,3740,693.21,1,25,30,28,1
12,2560,680,693.21,1,20,29,26,1
1,2561,760,693.21,1,22,30,27,1
2,2561,820,693.21,1,23,30,27,1
3,2561,1120,693.21,1,24,31,29,1
4,2561,920,693.21,1,24,32,29,1
5,2561,1200,693.21,1,28,31,29,1
6,2561,840,693.21,1,26,31,30,0
7,2561,940,693.21,1,27,30,29,0
8,2561,960,693.21,1,27,30,29,1
9,2561,940,693.21,1,27,31,29,1
10,2561,820,693.21,1,27,31,29,1
11,2561,1200,693.21,1,26,31,29,1
12,2561,660,693.21,1,26,30,28,1
1,2556,13488,2023.32,3,26,30,28,1
2,2556,13018,2023.32,3,28,32,30,1
3,2556,15494,2023.32,3,24,34,31,0
4,2556,15363,2023.32,3,29,34,32,0
5,2556,17892,2023.32,3,30,34,32,0
6,2556,14681,2023.32,3,28,32,30,1
7,2556,15333,2023.32,3,28,32,30,1
8,2556,15838,2023.32,3,28,31,30,1
9,2556,14601,2023.32,3,24,32,29,1
10,2556,14928,2023.32,3,26,31,29,0
11,2556,14840,2023.32,3,26,31,30,1
12,2556,12620,2023.32,3,21,30,25,1
1,2557,14334,2023.32,3,21,28,25,1
2,2557,15759,2023.32,3,24,29,28,1
3,2557,18578,2023.32,3,27,32,30,1
4,2557,17514,2023.32,3,29,33,31,1
5,2557,19856,2023.32,3,29,33,31,1
6,2557,18121,2023.32,3,28,32,30,0
7,2557,18235,2023.32,3,27,32,30,0
8,2557,16733,2023.32,3,27,31,29,1
9,2557,17676,2023.32,3,28,31,29,1
10,2557,16919,2023.32,3,27,29,29,1
11,2557,16298,2023.32,3,26,31,29,1
12,2557,15045,2023.32,3,24,29,27,1
1,2558,13129,2023.32,3,23,29,26,1
2,2558,12699,2023.32,3,26,31,28,1
3,2558,15122,2023.32,3,27,31,30,1
4,2558,15283,2023.32,3,27,33,30,1
5,2558,16596,2023.32,3,29,32,31,1
6,2558,16228,2023.32,3,29,33,30,0
7,2558,16386,2023.32,3,28,32,30,0
8,2558,16005,2023.32,3,27,32,30,1
9,2558,18211,2023.32,3,26,31,29,1
10,2558,19810,2023.32,3,27,30,29,1
11,2558,21320,2023.32,3,28,31,29,1
12,2558,20151,2023.32,3,24,31,28,1
1,2559,17072,2023.32,3,18,31,27,1
2,2559,14598,2023.32,3,20,30,28,1
3,2559,18566,2023.32,3,27,33,31,1
4,2559,17486,2023.32,3,29,34,32,1
5,2559,18295,2023.32,3,29,34,32,1
6,2559,16072,2023.32,3,27,32,29,0
7,2559,15989,2023.32,3,28,31,29,0
8,2559,17843,2023.32,3,29,31,30,1
9,2559,17243,2023.32,3,27,31,29,1
10,2559,16977,2023.32,3,27,30,29,1
11,2559,16457,2023.32,3,27,31,29,1
12,2559,15209,2023.32,3,24,30,27,1
1,2560,15167,2023.32,3,26,29,27,1
2,2560,15196,2023.32,3,24,31,28,1
3,2560,19123,2023.32,3,27,32,30,1
4,2560,17223,2023.32,3,28,33,31,1
5,2560,18893,2023.32,3,27,32,30,1
6,2560,18893,2023.32,3,28,31,29,0
7,2560,17055,2023.32,3,27,31,29,0
8,2560,17937,2023.32,3,27,31,29,1
9,2560,17564,2023.32,3,28,31,29,1
10,2560,16233,2023.32,3,26,31,28,1
11,2560,16299,2023.32,3,25,30,28,1
12,2560,16299,2023.32,3,20,29,26,1
1,2561,16082,2023.32,3,22,30,27,1
2,2561,14735,2023.32,3,23,30,27,1
3,2561,18879,2023.32,3,24,31,29,1
4,2561,15428,2023.32,3,24,32,29,1
5,2561,17084,2023.32,3,28,31,29,1
